Website Domain,Ticker,Technology Name,Technology ID,First Seen At,Last Seen At,Behind Firewall,First_Year,First_Month,Last_Year,Last_Month
wipro.com,NYSE:WIT,Fortinet,fd887381-0f12-4c64-9784-85fd7e1f99c2,2024-09-03 20:17:12+00:00,2024-09-03 20:17:12+00:00,True,2024,9,2024,9
samsung.com,NASDAQOTH:SSNLF,MX,4969df0f-5db2-4a50-bf83-6f6c97f06b6b,2024-09-02 20:51:31+00:00,2024-09-06 04:01:05+00:00,True,2024,9,2024,9
infosys.com,NYSE:INFY,VMWare VeloCloud,73e96f0f-9fd3-4d28-883b-990b48a60361,2024-07-24 14:23:35+00:00,2024-07-24 21:57:03+00:00,True,2024,7,2024,7
rakuten.com,Unknown,Salesforce Billing,ddb50d04-6bfe-4e0d-bc6a-557b02f473dd,2024-08-23 01:46:56+00:00,2024-08-23 01:46:56+00:00,True,2024,8,2024,8
rakuten.com,Unknown,Heroku,77be342b-549d-5e31-9c09-18c52a46b027,2024-06-19 20:53:47+00:00,2024-06-19 20:53:47+00:00,True,2024,6,2024,6
wipro.com,NYSE:WIT,Azure SQL,28ae2455-2a88-46d0-a7fa-faeddd84e4ae,2024-08-26 03:33:18+00:00,2024-08-26 03:33:18+00:00,True,2024,8,2024,8
grab.com,Unknown,B2B2C,bdd36402-d3f2-5694-bae1-3643f226853e,2024-08-10 11:42:49+00:00,2024-08-10 11:42:49+00:00,True,2024,8,2024,8
wipro.com,NYSE:WIT,Autodesk Revit,46ecc9bf-148c-5854-90c8-37f23e37bf38,2024-08-09 21:25:54+00:00,2024-08-09 21:25:54+00:00,True,2024,8,2024,8
grab.com,Unknown,Clickhouse,6ad6adc8-2315-4594-a7c4-b09b071a4057,2024-09-03 02:08:15+00:00,2024-09-03 02:08:15+00:00,True,2024,9,2024,9
samsung.com,NASDAQOTH:SSNLF,Dell,c417838c-909c-52db-a034-dc004bca3022,2024-06-09 22:00:55+00:00,2024-06-09 22:00:55+00:00,True,2024,6,2024,6
infosys.com,NYSE:INFY,Adobe XD,4f627307-1264-4090-ad0d-cae94459b761,2024-08-22 21:54:51+00:00,2024-09-02 19:20:44+00:00,True,2024,8,2024,9
infosys.com,NYSE:INFY,Cloudflare Bot Management,09412f5b-4515-5811-9f62-dd54b0248028,2024-06-10 15:44:56+00:00,2024-06-10 15:44:56+00:00,False,2024,6,2024,6
wipro.com,NYSE:WIT,Pure Storage,06c956d3-1ce8-52c3-8703-58b0f947ad4e,2024-08-09 21:10:27+00:00,2024-08-09 21:31:01+00:00,True,2024,8,2024,8
samsung.com,NASDAQOTH:SSNLF,Pendo,c0016482-69d7-5dcd-bbbe-3e72894bb4df,2024-06-10 19:49:00+00:00,2024-09-04 18:49:43+00:00,True,2024,6,2024,9
rakuten.com,Unknown,SAP Analytics Cloud,54d6c62f-fc2f-4922-b93d-f23b5d7b8f04,2024-06-16 09:45:52+00:00,2024-06-16 09:45:52+00:00,True,2024,6,2024,6
infosys.com,NYSE:INFY,Velocix,e5bb2980-1a22-47ff-9c9d-6974d87d64c2,2024-06-14 14:05:54+00:00,2024-06-14 22:50:09+00:00,True,2024,6,2024,6
grab.com,Unknown,Duda,900bf870-ccaf-5332-979f-1cb0413bb9d2,2024-09-05 08:34:32+00:00,2024-09-05 08:35:57+00:00,False,2024,9,2024,9
samsung.com,NASDAQOTH:SSNLF,OpenTelemetry,35b75c47-cc31-4c66-afb1-cb1b88804da9,2024-08-30 11:14:29+00:00,2024-08-30 11:14:29+00:00,True,2024,8,2024,8
bytedance.com,Unknown,DNN,fced75c1-7380-5ec2-81c1-cfd247fe1345,2024-08-10 07:49:57+00:00,2024-08-16 23:11:40+00:00,True,2024,8,2024,8
rakuten.com,Unknown,SQLite,99357247-a38f-5839-b5d3-ac16cb07eddc,2024-09-04 22:33:20+00:00,2024-09-04 22:33:20+00:00,True,2024,9,2024,9
bytedance.com,Unknown,Akamai,b0526112-ddde-5dbf-b887-9b6f93557007,2024-08-19 07:29:59+00:00,2024-08-19 07:29:59+00:00,True,2024,8,2024,8
samsung.com,NASDAQOTH:SSNLF,Claro,1698ac3e-ce36-50fd-a511-b6a3a52d24ed,2024-08-08 23:36:18+00:00,2024-08-08 23:36:18+00:00,True,2024,8,2024,8
rakuten.com,Unknown,SAP S/4HANA,4f3367de-761f-5332-bcc5-ab2f6fb7595c,2024-06-16 09:45:49+00:00,2024-06-16 09:45:52+00:00,True,2024,6,2024,6
wipro.com,NYSE:WIT,Workspace One,875e41d5-0d63-42ab-966d-78c4d74c2775,2024-06-14 20:34:29+00:00,2024-06-14 20:34:29+00:00,True,2024,6,2024,6
wipro.com,NYSE:WIT,Cisco IronPort,8419e03e-0af7-46fb-8326-601340c13a5d,2024-09-05 05:14:40+00:00,2024-09-05 05:14:40+00:00,True,2024,9,2024,9
grab.com,Unknown,PyTorch,a0d6a9e2-4320-4cac-b2cc-932b2bd95a46,2024-09-02 14:30:15+00:00,2024-09-06 03:26:44+00:00,True,2024,9,2024,9
wipro.com,NYSE:WIT,Palo Alto Networks,04fb9da2-c492-40f6-8c83-7617c1fcf7b6,2024-08-21 22:25:52+00:00,2024-09-04 07:53:25+00:00,True,2024,8,2024,9
rakuten.com,Unknown,Udemy,c0da7d29-3b7d-4f05-be39-094d7ee61174,2024-09-02 11:25:40+00:00,2024-09-02 11:25:40+00:00,True,2024,9,2024,9
infosys.com,NYSE:INFY,Tandem,383e5ca1-fcdb-42fc-bf80-90c7760f9d55,2024-08-29 21:53:34+00:00,2024-09-05 07:35:03+00:00,True,2024,8,2024,9
samsung.com,NASDAQOTH:SSNLF,Facebook Workplace,0c4bcb04-7ca6-5925-8b2d-a57185ae8537,2024-07-15 18:16:10+00:00,2024-07-15 18:16:10+00:00,True,2024,7,2024,7
sony.com,NYSE:SNE,Proper Media,5d1bc4dd-80b7-542a-bb44-2e65f9ae9e92,2024-06-26 03:43:36+00:00,2024-06-26 03:43:36+00:00,True,2024,6,2024,6
wipro.com,NYSE:WIT,PTC Windchill,c9c279f6-b7cc-433b-ba81-8cf54f7368cd,2024-09-04 06:40:44+00:00,2024-09-04 06:40:44+00:00,True,2024,9,2024,9
lg.com,Unknown,OneTrust,c94695dd-a6aa-5302-a7d1-888c86263318,2024-09-02 09:45:16+00:00,2024-09-02 09:45:16+00:00,False,2024,9,2024,9
infosys.com,NYSE:INFY,Cohesity,72425d52-18d3-5848-a17f-827060a77df9,2024-06-15 01:26:04+00:00,2024-06-15 01:26:04+00:00,True,2024,6,2024,6
samsung.com,NASDAQOTH:SSNLF,RabbitMQ,ee0ddbe3-c017-40f5-a97a-8bc22af0a199,2024-09-03 11:13:29+00:00,2024-09-03 11:13:29+00:00,True,2024,9,2024,9
wipro.com,NYSE:WIT,Tandem,383e5ca1-fcdb-42fc-bf80-90c7760f9d55,2024-08-30 19:47:24+00:00,2024-08-30 19:47:24+00:00,True,2024,8,2024,8
